,Dummy,EST_CV,EST_NCV,SARIMA_CV
physics.hist-ph,1.5319611868984437,1.5202575088420787,1.5409066874264585,1.5110849398244675
physics.ins-det,0.9411716353214155,0.8835002184745028,0.8785683914450366,0.9154583108911695
physics.med-ph,1.6726030978108108,1.5973840830820683,1.6759810971120113,1.5435535410323253
physics.optics,0.7810247933255541,0.7626034820926615,0.7491349406787667,0.706504607629172
physics.plasm-ph,1.0354167514667347,1.0043414148932976,1.0703272957358083,1.031232673435333
physics.pop-ph,2.2723624467570254,2.3124279061968775,2.4103025670806693,2.3307000199409513
physics.soc-ph,0.7358638927280967,0.6904919312008523,0.7311201021399749,0.7015078986038378
physics.space-ph,1.5887438554922864,1.5408540890654616,1.6066388114960168,1.5387749471344687
q-bio.BM,1.650316933278764,1.4954945945526366,1.5225662727840437,1.4346702174524846
q-bio.CB,2.2043390448893176,2.273028023521883,2.316865018128633,2.278473690730908
q-bio.GN,2.0031455761768573,2.019750315632956,2.074308170332337,2.120253929060997
q-bio.MN,1.4251167461959575,1.4138522006531609,1.413489698651234,1.4138505998319457
q-bio.NC,1.5746215196398858,1.4157037949306486,1.455028063765137,1.4484000786828584
q-bio.OT,3.137431006343162,3.177477841271562,3.192580408806138,3.1748656687196655
q-bio.PE,0.9509713996409981,1.0032572601709664,0.9924141320162672,1.0065478584618703
q-bio.QM,1.5356524515129841,1.4843291659031,1.4704619158882857,1.407527601112728
q-bio.SC,1.538508255011127,1.5449283295315843,1.5803974749399166,1.553958956565206
q-bio.TO,2.8909227172678227,2.8919253581573248,2.942647239207949,2.8919265707529203
q-fin.CP,2.994533260567736,2.9518268001395414,2.9721164630154204,2.9763570368166112
q-fin.EC,2.504997964032045,2.3913803201015273,2.4355694338313287,2.442879549141676
q-fin.GN,1.7354422452957723,1.780759051320171,1.7806559937765556,1.7760396756944732
q-fin.MF,2.5460586233794213,2.5622614493764964,2.5305684111082805,2.553439332959969
q-fin.PM,2.571458148238325,2.550395771109356,2.628563503267077,2.600367376237006
q-fin.PR,1.8882296001415895,1.8684777142092022,1.9568760281038138,1.8726922672122737
q-fin.RM,2.3352590058338456,2.2327906609640813,2.2791022602793922,2.248780453678089
q-fin.ST,1.7779228450393079,1.8504203810044515,1.910542127396886,1.8619769834416489
q-fin.TR,3.021215413592777,3.0292069043222987,3.131009827933611,3.1065539606433767
quant-ph,0.6209565054217646,0.5665593017720594,0.5679197420645733,0.5169575677104268
stat.AP,1.0032427479737034,0.983548010534156,0.9671151299628531,0.9571248567043188
stat.CO,1.3501806612737228,1.3512819533976361,1.3990408783851642,1.3314495733885743
stat.ME,1.2669535935455487,1.0747615750520045,1.0702064075157114,1.0017759587983497
stat.ML,1.0410474016042568,0.8164157186435462,0.8563530761039535,0.7250217798963596
stat.OT,3.075093350363515,3.084466504368605,3.3640109028491394,3.097375259619588
stat.TH,0.9144571119781035,0.9069903329114128,0.9258826012202362,0.8722941482195034
