,dummy,t_reg,day_reg,mday_reg,tday_reg,gbrt,prophet,prophet_full
physics.plasm-ph,1.0354167514667347,1.0173279558585704,1.0043417846178089,1.0796847910303111,0.9819377710918301,2.29898293465576,2.189224671329731,0.9620389365723208
physics.pop-ph,2.2723624467570254,2.293471067019908,2.3121549792864773,2.409066104695863,2.334096669486966,1.60117589856901,1.5125928351903535,2.2608513771089562
physics.soc-ph,0.7358638927280967,0.744471106941098,0.6904912886943482,0.6878131143609034,0.700503976926055,1.5506008914811864,1.7230597523919884,0.7141344060146907
physics.space-ph,1.5887438554922864,1.576595159943063,1.5408549725851175,1.630527615118641,1.5280280467707177,2.5845694737806757,2.4323123843185517,1.5359109786353795
q-bio.BM,1.650316933278764,1.620225778764144,1.438493320122335,1.3248629189976284,1.4041743228783343,2.9603636856202393,2.5035030093593313,1.5155816055215192
q-bio.CB,2.2043390448893176,2.2192063299681846,2.274854913288953,2.2836728939785855,2.291649639611937,1.8019074131278963,2.0783234746016115,2.226986246218161
q-bio.GN,2.0031455761768573,2.048764019326108,2.046633263002256,2.13973698168144,2.084450551155036,3.0152748434800487,2.699483321450351,1.9058429607745373
q-bio.MN,1.4251167461959575,1.423233485382261,1.413850618086507,1.4171508259477776,1.4116578271254847,1.2792265456492362,1.2096863880024362,1.3961669634664617
q-bio.NC,1.5746215196398858,1.563945720561877,1.4492569783070746,1.3396871978495426,1.4395222347226742,3.1164481223974576,2.8542330075133857,1.534354718234104
q-bio.OT,3.137431006343162,3.1792482254216994,3.1774658853470097,3.267473544571804,3.2133167496470416,2.516547068012233,2.387741190212592,3.1375023226362333
q-bio.PE,0.9509713996409981,0.9671853230431722,0.9797081413996201,1.0134341203839161,0.9943766417075081,1.772585847752794,1.7234098737225483,1.068529074334721
q-bio.QM,1.5356524515129841,1.5234281305320396,1.381210811041207,1.5428344888925705,1.3680109215278435,2.698061637367544,2.8179566847836837,1.4345245509878188
q-bio.SC,1.538508255011127,1.6056297517936877,1.5449225245906675,1.5424910690655436,1.6116766623617882,0.6857677729472773,0.7319067292442892,1.5417219296273157
q-bio.TO,2.8909227172678227,2.8603088434545856,2.8919191106506745,2.953149069996386,2.859588975711914,2.552114785265893,2.048352844460835,2.888577961178066
q-fin.CP,2.994533260567736,3.003466916111098,2.961818345572699,2.9371604332364716,2.9573092451331187,3.6664722621774275,2.9000588837338808,2.8192719670309434
q-fin.EC,2.504997964032045,2.6940155269309622,2.453952723292752,2.5108579227316117,2.653227217388727,5.151435608582143,5.312230822421849,2.4112934935544037
q-fin.GN,1.7354422452957723,1.7196823427390089,1.7576222030421544,1.7946369939714029,1.7419176837974362,1.303523225476239,1.2055610665917544,1.7388706699038319
q-fin.MF,2.5460586233794213,2.6131616792840795,2.5673656123103004,2.571687320137087,2.6347201711914017,2.8310755547108886,2.786982503122648,2.514929415414918
q-fin.PM,2.571458148238325,2.617427667831348,2.550393316974009,2.652305890043939,2.5947661408160805,3.1164228270224297,2.4644989468751106,2.540797114949977
q-fin.PR,1.8882296001415895,1.904682952252991,1.8774908021973225,1.9410886405823706,1.8988126347997638,1.1688138021862524,1.2639043102118008,1.8254728547796797
q-fin.RM,2.3352590058338456,2.408542462198639,2.232797411207304,2.1901769471633927,2.2947098636013767,2.6855271309730924,1.8281960162580837,2.210410553419467
q-fin.ST,1.7779228450393079,1.7355127518018223,1.8243117236878457,1.7959982613183187,1.7671684474726557,2.1761054050314095,1.8490744671554458,1.7658220890901244
q-fin.TR,3.021215413592777,3.1237580922926944,3.108195760696041,3.093904569498545,3.206463581571689,3.3726882041925426,3.6342502906305567,3.12193309696252
quant-ph,0.6209565054217646,0.6105963352817426,0.5032153688839457,0.6114356392267916,0.489199540919114,2.228875418241687,2.0999651833555384,0.5128672036390118
stat.AP,1.0032427479737034,1.0239492861615678,0.9629149575695289,1.0024771675848296,0.9884879777785608,2.721645420903441,2.8150800050389004,0.9520881562313062
stat.CO,1.3501806612737228,1.3433538096460902,1.3183943397500582,1.4327830063172295,1.3070185636415883,2.9035353690814385,2.8686238855685517,1.298258858017299
stat.ME,1.2669535935455487,1.27691348968507,0.9899341480460272,1.0759205572031976,1.0082101384331663,3.234105993597031,3.3450358031610516,1.1096914000852478
stat.ML,1.0410474016042568,1.1028575592384373,0.7744619530798292,0.8373409585393233,0.8570193109420687,2.2746967639066114,2.6150435126058054,1.3971756804364575
stat.OT,3.075093350363515,3.054447331254054,3.0844616854910383,3.1691444436013,3.0670744441770297,3.4476801487220268,2.899026345792405,3.0822564764984675
stat.TH,0.9144571119781035,0.9350862109462897,0.8626086004681683,0.8750618421089446,0.8849579976317591,2.186728597704404,2.406668164306919,0.8309475137580058
